"","account_id","district_id","frequency","account_age"
"1",576,55,"monthly issuance",24
"2",3818,74,"monthly issuance",24
"3",704,55,"monthly issuance",24
"4",2378,16,"monthly issuance",24
"5",2632,24,"monthly issuance",24
"6",1972,77,"monthly issuance",24
"7",1539,1,"issuance after transaction",24
"8",793,47,"monthly issuance",24
"9",2484,74,"monthly issuance",24
"10",1695,76,"monthly issuance",24
"11",1726,48,"monthly issuance",24
"12",2881,70,"monthly issuance",24
"13",2357,19,"monthly issuance",24
"14",2177,62,"monthly issuance",24
"15",485,6,"issuance after transaction",24
"16",652,21,"monthly issuance",24
"17",9635,70,"monthly issuance",24
"18",1844,44,"monthly issuance",24
"19",1926,37,"monthly issuance",24
"20",2393,10,"monthly issuance",24
"21",3510,41,"monthly issuance",24
"22",1276,36,"monthly issuance",24
"23",1637,1,"monthly issuance",24
"24",3871,26,"monthly issuance",24
"25",192,55,"monthly issuance",24
"26",764,1,"monthly issuance",24
"27",2087,7,"weekly issuance",24
"28",2122,68,"monthly issuance",24
"29",3592,54,"monthly issuance",24
"30",3487,41,"monthly issuance",24
"31",435,38,"monthly issuance",24
"32",1730,1,"monthly issuance",24
"33",1493,41,"monthly issuance",24
"34",374,38,"monthly issuance",24
"35",2925,1,"monthly issuance",24
"36",866,9,"monthly issuance",24
"37",1628,60,"monthly issuance",24
"38",2379,44,"monthly issuance",24
"39",1979,26,"monthly issuance",24
"40",346,37,"monthly issuance",24
"41",1338,74,"monthly issuance",24
"42",1909,14,"monthly issuance",24
"43",2099,3,"weekly issuance",24
"44",3760,44,"monthly issuance",24
"45",5270,44,"monthly issuance",24
"46",1699,53,"monthly issuance",24
"47",3909,1,"monthly issuance",24
"48",2926,50,"monthly issuance",24
"49",1731,33,"monthly issuance",24
"50",11265,15,"monthly issuance",24
"51",2519,4,"monthly issuance",24
"52",10364,55,"monthly issuance",24
"53",1481,15,"monthly issuance",24
"54",401,32,"monthly issuance",24
"55",4034,1,"monthly issuance",24
"56",2330,54,"monthly issuance",24
"57",1806,40,"monthly issuance",24
"58",3834,54,"monthly issuance",24
"59",1222,66,"monthly issuance",24
"60",212,27,"weekly issuance",24
"61",456,49,"monthly issuance",24
"62",459,47,"monthly issuance",24
"63",772,45,"monthly issuance",24
"64",1019,52,"monthly issuance",24
"65",11295,74,"monthly issuance",24
"66",2970,60,"monthly issuance",24
"67",2676,73,"monthly issuance",24
"68",1536,41,"weekly issuance",24
"69",1179,74,"monthly issuance",24
"70",280,25,"monthly issuance",24
"71",2425,41,"monthly issuance",24
"72",9307,68,"monthly issuance",24
"73",4055,23,"monthly issuance",24
"74",5065,66,"monthly issuance",24
"75",3704,75,"monthly issuance",24
"76",477,1,"monthly issuance",24
"77",5891,54,"monthly issuance",24
"78",1000,77,"monthly issuance",24
"79",1750,1,"monthly issuance",24
"80",2023,68,"monthly issuance",24
"81",6473,12,"monthly issuance",24
"82",1649,46,"monthly issuance",24
"83",2670,13,"monthly issuance",24
"84",1127,27,"monthly issuance",24
"85",163,30,"monthly issuance",24
"86",2566,48,"monthly issuance",24
"87",9,70,"monthly issuance",24
"88",1144,59,"monthly issuance",24
"89",2902,32,"monthly issuance",24
"90",4296,63,"monthly issuance",24
"91",443,64,"monthly issuance",24
"92",3693,61,"monthly issuance",24
"93",2070,72,"monthly issuance",24
"94",1843,12,"monthly issuance",24
"95",2714,1,"monthly issuance",24
"96",4078,40,"monthly issuance",24
"97",1675,36,"monthly issuance",24
"98",5868,44,"monthly issuance",24
"99",1805,1,"monthly issuance",24
"100",2434,17,"monthly issuance",24
"101",3007,16,"monthly issuance",24
"102",2574,68,"monthly issuance",24
"103",862,64,"weekly issuance",24
"104",1132,1,"weekly issuance",24
"105",4484,54,"monthly issuance",24
"106",943,1,"monthly issuance",24
"107",3514,7,"monthly issuance",24
"108",3983,67,"monthly issuance",24
"109",9265,1,"monthly issuance",24
"110",465,32,"monthly issuance",24
"111",982,54,"monthly issuance",24
"112",411,70,"monthly issuance",24
"113",890,14,"monthly issuance",24
"114",627,63,"monthly issuance",24
"115",2429,61,"monthly issuance",24
"116",3960,64,"monthly issuance",24
"117",2256,48,"monthly issuance",24
"118",8051,1,"weekly issuance",24
"119",2647,73,"monthly issuance",24
"120",2241,6,"monthly issuance",24
"121",5622,70,"monthly issuance",24
"122",2884,1,"monthly issuance",24
"123",1830,10,"monthly issuance",24
"124",7753,74,"monthly issuance",24
"125",244,24,"monthly issuance",24
"126",1477,1,"monthly issuance",24
"127",4240,50,"monthly issuance",24
"128",1006,6,"monthly issuance",24
"129",830,74,"monthly issuance",24
"130",9188,45,"monthly issuance",24
"131",1965,57,"issuance after transaction",24
"132",1134,6,"monthly issuance",24
"133",1601,10,"monthly issuance",24
"134",2861,38,"monthly issuance",24
"135",813,16,"monthly issuance",24
"136",2585,75,"monthly issuance",24
"137",2220,16,"monthly issuance",24
"138",2763,64,"monthly issuance",24
"139",2342,51,"monthly issuance",24
"140",1944,72,"monthly issuance",24
"141",1966,27,"monthly issuance",24
"142",1801,46,"monthly issuance",24
"143",2543,68,"monthly issuance",24
"144",2293,31,"monthly issuance",24
"145",11013,1,"weekly issuance",24
"146",2423,30,"monthly issuance",24
"147",142,51,"monthly issuance",24
"148",3424,74,"monthly issuance",24
"149",539,13,"issuance after transaction",24
"150",979,21,"monthly issuance",24
"151",3554,66,"monthly issuance",24
"152",3545,51,"monthly issuance",24
"153",3047,16,"monthly issuance",24
"154",3374,21,"monthly issuance",24
"155",96,68,"monthly issuance",24
"156",461,30,"monthly issuance",24
"157",3593,1,"monthly issuance",24
"158",3026,24,"monthly issuance",24
"159",1054,10,"monthly issuance",24
"160",2433,71,"monthly issuance",24
"161",3691,50,"monthly issuance",24
"162",3787,70,"monthly issuance",24
"163",128,2,"monthly issuance",24
"164",3168,39,"monthly issuance",24
"165",4937,12,"monthly issuance",24
"166",2124,69,"monthly issuance",24
"167",322,1,"monthly issuance",24
"168",4355,31,"monthly issuance",24
"169",1678,1,"monthly issuance",24
"170",2396,2,"monthly issuance",24
"171",1005,54,"weekly issuance",24
"172",697,28,"monthly issuance",24
"173",925,59,"monthly issuance",24
"174",2110,64,"monthly issuance",24
"175",1366,60,"monthly issuance",24
"176",1050,57,"issuance after transaction",24
"177",3117,33,"monthly issuance",24
"178",562,50,"monthly issuance",24
"179",5369,54,"monthly issuance",24
"180",2242,7,"weekly issuance",24
"181",197,1,"monthly issuance",24
"182",496,69,"monthly issuance",24
"183",2,1,"monthly issuance",24
"184",7401,1,"monthly issuance",24
"185",2486,1,"monthly issuance",24
"186",428,1,"monthly issuance",24
"187",3651,23,"monthly issuance",24
"188",1775,17,"monthly issuance",24
"189",1688,70,"monthly issuance",24
"190",361,51,"monthly issuance",24
"191",1829,43,"monthly issuance",24
"192",1575,1,"monthly issuance",24
"193",9203,70,"monthly issuance",24
"194",3008,72,"monthly issuance",24
"195",239,69,"weekly issuance",24
"196",3302,21,"monthly issuance",24
"197",415,25,"monthly issuance",24
"198",3513,20,"monthly issuance",24
"199",4134,7,"monthly issuance",24
"200",1077,14,"monthly issuance",24
"201",1713,43,"monthly issuance",24
"202",1378,59,"monthly issuance",24
"203",2503,1,"monthly issuance",24
"204",559,46,"monthly issuance",24
"205",6555,38,"weekly issuance",24
"206",744,42,"monthly issuance",24
"207",882,9,"monthly issuance",24
"208",86,54,"monthly issuance",24
"209",1126,56,"monthly issuance",24
"210",2666,49,"monthly issuance",24
"211",944,70,"monthly issuance",24
"212",1545,1,"monthly issuance",24
"213",2453,1,"monthly issuance",24
"214",3734,43,"monthly issuance",24
"215",3935,23,"monthly issuance",24
"216",396,21,"monthly issuance",24
"217",2694,7,"monthly issuance",24
"218",4596,74,"monthly issuance",24
"219",2489,72,"monthly issuance",24
"220",2895,19,"monthly issuance",24
"221",317,76,"monthly issuance",24
"222",2555,53,"monthly issuance",24
"223",494,60,"monthly issuance",24
"224",2219,60,"monthly issuance",24
"225",2581,72,"monthly issuance",24
"226",112,6,"monthly issuance",24
"227",3674,38,"monthly issuance",24
"228",2039,44,"monthly issuance",24
"229",2712,9,"monthly issuance",24
"230",395,1,"monthly issuance",24
"231",2974,9,"monthly issuance",24
"232",123,21,"monthly issuance",24
"233",9640,1,"monthly issuance",24
"234",3108,53,"monthly issuance",24
"235",2508,34,"monthly issuance",24
"236",2458,40,"weekly issuance",24
"237",588,66,"monthly issuance",24
"238",7231,10,"monthly issuance",24
"239",6701,49,"weekly issuance",24
"240",3883,72,"monthly issuance",24
"241",222,37,"monthly issuance",24
"242",2497,65,"monthly issuance",24
"243",1372,1,"monthly issuance",24
"244",3835,50,"monthly issuance",24
"245",7445,64,"monthly issuance",24
"246",2527,38,"monthly issuance",24
"247",425,9,"monthly issuance",24
"248",860,1,"monthly issuance",24
"249",6034,6,"weekly issuance",24
"250",11065,11,"monthly issuance",24
"251",9883,1,"monthly issuance",24
"252",115,68,"monthly issuance",24
"253",1189,59,"monthly issuance",24
"254",3675,64,"monthly issuance",24
"255",3069,66,"monthly issuance",24
"256",2762,19,"monthly issuance",24
"257",892,70,"monthly issuance",24
"258",1535,46,"monthly issuance",24
"259",2618,60,"monthly issuance",24
"260",2651,2,"monthly issuance",24
"261",5442,34,"monthly issuance",24
"262",1787,30,"weekly issuance",24
"263",1397,17,"monthly issuance",24
"264",3785,10,"monthly issuance",24
"265",623,1,"monthly issuance",24
"266",8260,31,"monthly issuance",24
"267",3678,1,"monthly issuance",24
"268",3001,1,"monthly issuance",24
"269",655,53,"monthly issuance",24
"270",4093,1,"monthly issuance",24
"271",3260,68,"monthly issuance",24
"272",2528,65,"monthly issuance",24
"273",2011,75,"monthly issuance",24
"274",1721,68,"monthly issuance",24
"275",1332,59,"monthly issuance",24
"276",1402,74,"monthly issuance",24
"277",3283,68,"monthly issuance",24
"278",3781,31,"monthly issuance",24
"279",7203,71,"monthly issuance",24
"280",1065,72,"monthly issuance",24
"281",3076,54,"monthly issuance",24
"282",4347,1,"monthly issuance",24
"283",1157,7,"monthly issuance",24
"284",9403,1,"weekly issuance",24
"285",1874,9,"monthly issuance",24
"286",1115,34,"monthly issuance",24
"287",3586,59,"monthly issuance",24
"288",62,47,"monthly issuance",24
"289",1771,69,"monthly issuance",24
"290",5483,13,"monthly issuance",24
"291",8330,48,"monthly issuance",24
"292",187,5,"monthly issuance",24
"293",423,12,"monthly issuance",24
"294",6425,31,"monthly issuance",24
"295",2493,62,"monthly issuance",24
"296",2896,29,"monthly issuance",24
"297",2245,29,"monthly issuance",24
"298",3923,52,"monthly issuance",24
"299",1898,70,"monthly issuance",24
"300",3367,1,"monthly issuance",24
"301",3391,74,"monthly issuance",24
"302",8519,23,"monthly issuance",24
"303",1780,1,"monthly issuance",24
"304",3915,65,"monthly issuance",24
"305",3980,75,"monthly issuance",24
"306",4350,63,"monthly issuance",24
"307",686,41,"monthly issuance",24
"308",362,15,"monthly issuance",24
"309",299,77,"monthly issuance",24
"310",2488,5,"monthly issuance",24
"311",2985,71,"monthly issuance",24
"312",385,5,"monthly issuance",24
"313",2817,56,"monthly issuance",24
"314",2056,58,"monthly issuance",24
"315",2002,1,"monthly issuance",24
"316",748,10,"monthly issuance",24
"317",220,72,"monthly issuance",24
"318",1422,68,"monthly issuance",24
"319",1147,44,"monthly issuance",24
"320",3788,70,"monthly issuance",24
"321",1891,32,"monthly issuance",24
"322",1239,1,"monthly issuance",24
"323",8321,77,"monthly issuance",24
"324",3213,51,"monthly issuance",24
"325",2838,3,"weekly issuance",24
"326",3644,38,"monthly issuance",24
"327",4318,33,"weekly issuance",24
"328",2648,51,"monthly issuance",24
"329",2313,26,"weekly issuance",24
"330",5428,24,"monthly issuance",24
"331",7123,64,"issuance after transaction",24
"332",279,39,"monthly issuance",24
"333",104,37,"monthly issuance",24
"334",497,55,"monthly issuance",24
"335",1152,45,"monthly issuance",24
"336",83,26,"monthly issuance",24
"337",2008,52,"monthly issuance",24
"338",3327,45,"monthly issuance",24
"339",5740,43,"monthly issuance",24
"340",8132,5,"weekly issuance",24
"341",10738,45,"weekly issuance",24
"342",2216,74,"monthly issuance",24
"343",1815,66,"monthly issuance",24
"344",2823,57,"monthly issuance",24
"345",4321,47,"monthly issuance",24
"346",1773,33,"monthly issuance",24
"347",7454,4,"monthly issuance",24
"348",188,54,"monthly issuance",24
"349",10973,18,"weekly issuance",24
"350",2599,48,"monthly issuance",24
"351",1166,11,"monthly issuance",24
"352",504,73,"monthly issuance",24
"353",1518,67,"monthly issuance",24
"354",2189,75,"monthly issuance",24
"355",6040,1,"monthly issuance",24
"356",2876,52,"monthly issuance",24
"357",1505,69,"monthly issuance",24
"358",6897,48,"monthly issuance",24
"359",4377,28,"monthly issuance",24
"360",717,75,"monthly issuance",24
"361",9707,70,"monthly issuance",24
"362",2814,72,"monthly issuance",24
