"","card_id","disp_id","type","issued"
"1",1005,9285,"classic",931107
"2",104,588,"classic",940119
"3",747,4915,"classic",940205
"4",70,439,"classic",940208
"5",577,3687,"classic",940215
"6",377,2429,"classic",940303
"7",721,4680,"junior",940405
"8",437,2762,"classic",940601
"9",188,1146,"classic",940619
"10",13,87,"classic",940629
"11",732,4763,"classic",940721
"12",181,1066,"classic",940819
"13",384,2475,"junior",940915
"14",309,1946,"classic",940919
"15",478,3084,"classic",941009
"16",563,3589,"classic",941021
"17",369,2363,"classic",941108
"18",376,2428,"classic",941110
"19",483,3115,"classic",941124
"20",174,1039,"junior",941204
"21",658,4251,"classic",941225
"22",763,5138,"junior",941230
"23",778,5275,"classic",950102
"24",1039,9837,"classic",950107
"25",477,3082,"junior",950116
"26",168,1018,"classic",950124
"27",314,1999,"junior",950127
"28",468,3023,"classic",950130
"29",208,1246,"gold",950208
"30",766,5200,"classic",950211
"31",464,2984,"classic",950221
"32",497,3184,"classic",950303
"33",166,999,"classic",950305
"34",15,114,"classic",950305
"35",503,3225,"classic",950308
"36",737,4791,"classic",950413
"37",759,5117,"junior",950418
"38",223,1353,"classic",950418
"39",5,51,"junior",950424
"40",662,4293,"classic",950509
"41",779,5323,"junior",950521
"42",545,3458,"classic",950530
"43",467,3019,"classic",950605
"44",1247,13660,"classic",950613
"45",652,4211,"classic",950616
"46",559,3573,"classic",950617
"47",719,4663,"classic",950624
"48",397,2513,"classic",950624
"49",107,593,"classic",950627
"50",661,4270,"classic",950703
"51",484,3116,"classic",950704
"52",501,3197,"classic",950709
"53",422,2650,"junior",950711
"54",705,4555,"classic",950712
"55",410,2569,"classic",950720
"56",136,778,"classic",950728
"57",592,3782,"junior",950807
"58",262,1647,"junior",950824
"59",18,128,"classic",950825
"60",3,41,"gold",950903
"61",98,537,"classic",950906
"62",167,1011,"classic",950915
"63",97,531,"junior",950919
"64",699,4532,"classic",950926
"65",342,2157,"classic",950927
"66",713,4627,"classic",950930
"67",118,652,"classic",951022
"68",783,5433,"junior",951024
"69",504,3230,"junior",951106
"70",261,1629,"gold",951109
"71",296,1876,"gold",951113
"72",113,629,"junior",951116
"73",92,508,"classic",951120
"74",1225,13268,"classic",951122
"75",393,2498,"junior",951203
"76",695,4507,"classic",951215
"77",666,4328,"junior",951225
"78",462,2978,"classic",951230
"79",85,489,"classic",951231
"80",337,2141,"classic",960101
"81",771,5233,"classic",960108
"82",379,2431,"classic",960112
"83",106,592,"classic",960114
"84",606,3883,"classic",960122
"85",427,2688,"gold",960125
"86",202,1228,"classic",960204
"87",14,112,"classic",960217
"88",423,2657,"classic",960219
"89",989,9119,"classic",960221
"90",364,2329,"classic",960229
"91",267,1691,"junior",960309
"92",621,3970,"junior",960319
"93",725,4715,"junior",960330
"94",150,859,"classic",960330
"95",302,1900,"classic",960331
"96",372,2395,"classic",960331
"97",499,3187,"classic",960403
"98",229,1384,"classic",960405
"99",289,1831,"junior",960408
"100",37,238,"classic",960420
"101",286,1812,"gold",960421
"102",157,907,"classic",960424
"103",216,1310,"junior",960424
"104",977,8968,"classic",960508
"105",183,1080,"classic",960508
"106",945,8342,"junior",960509
"107",44,268,"junior",960517
"108",127,714,"classic",960523
"109",764,5159,"classic",960529
"110",204,1239,"junior",960530
"111",1134,11742,"classic",960531
"112",312,1971,"classic",960608
"113",313,1980,"classic",960617
"114",641,4116,"classic",960618
"115",731,4751,"classic",960623
"116",84,487,"classic",960626
"117",265,1680,"classic",960628
"118",1176,12502,"gold",960703
"119",407,2555,"classic",960711
"120",320,2045,"classic",960711
"121",1187,12635,"gold",960717
"122",121,666,"junior",960722
"123",303,1912,"classic",960801
"124",651,4201,"junior",960802
"125",736,4789,"classic",960803
"126",24,153,"junior",960805
"127",119,655,"classic",960808
"128",670,4343,"classic",960808
"129",227,1380,"classic",960810
"130",1164,12269,"classic",960812
"131",278,1779,"classic",960815
"132",103,584,"junior",960817
"133",673,4353,"junior",960831
"134",38,242,"classic",960831
"135",470,3036,"classic",960902
"136",514,3267,"classic",960910
"137",741,4832,"classic",960911
"138",12,83,"junior",960911
"139",152,876,"classic",960916
"140",163,984,"classic",960918
"141",708,4568,"junior",960924
"142",601,3830,"classic",961008
"143",99,548,"gold",961009
"144",547,3477,"classic",961011
"145",40,255,"classic",961013
"146",220,1333,"classic",961013
"147",390,2490,"classic",961014
"148",776,5263,"classic",961019
"149",197,1202,"junior",961021
"150",516,3279,"classic",961025
"151",381,2440,"classic",961027
"152",272,1754,"junior",961028
"153",772,5243,"classic",961030
"154",528,3356,"classic",961031
"155",87,493,"classic",961102
"156",88,496,"classic",961104
"157",441,2785,"classic",961105
"158",562,3583,"classic",961107
"159",690,4479,"classic",961107
"160",374,2423,"classic",961108
"161",57,347,"classic",961109
"162",722,4684,"classic",961114
"163",300,1890,"classic",961120
"164",117,649,"junior",961123
"165",541,3427,"junior",961126
"166",294,1861,"classic",961204
"167",10,77,"classic",961207
"168",710,4588,"junior",961210
"169",363,2324,"junior",961211
"170",697,4518,"classic",961211
"171",433,2724,"classic",961212
"172",642,4137,"classic",961213
"173",243,1478,"classic",961213
"174",162,967,"junior",961223
"175",594,3794,"junior",961227
"176",609,3893,"classic",961229
"177",786,5478,"classic",961231
